Tarih,Uretim Miktari
1938,2386717
1939,2275460
1940,2249314
1941,1758246
1942,2164781
1943,1665322
1944,1403049
1945,9343090
1946,1653592
1947,1511752
1948,2167396
1949,1246536
1950,2047018
1951,2700000
1952,3189000
1953,3640000
1954,2400000
1955,2985000
1956,2900000
1957,3630000
1958,3600000
1959,3300000
1960,3700000
1961,2948000
1962,3500000
1963,4288000
1964,3200000
1965,3300000
1966,3800000
1967,3800000
1968,3560000
1969,3740000
1970,3250000
1971,4170000
1972,3725000
1973,2900000
1974,3330000
1975,4500000
1976,4900000
1977,4750000
1978,4750000
1979,5240000
1980,5300000
1981,5900000
1982,6400000
1983,5425000
1984,6500000
1985,6500000
1986,7000000
1987,6900000
1988,7500000
1989,4500000
1990,7300000
1991,7800000
1992,6900000
1993,7500000
1994,7000000
1995,7500000
1996,8000000
1997,8200000
1998,9000000
1999,7700000
2000,8000000
2001,7500000
2002,8300000
2003,8100000
2004,9000000
2005,9500000
2006,9551000
2007,7306800
2008,5923000
2009,7300000
2010,7250000
2011,7250000
2012,7100000
2013,7900000
2014,6300000
2015,8000000
2016,6700000
2017,7100000
2018,7000000
2019,7600000
2020,8300000
2021,5750000
