Tarih,Uretim Miktari
1970,1040000
1971,1135000
1972,1030000
1973,1100000
1974,1200000
1975,1200000
1976,1310000
1977,1265000
1978,1300000
1979,1350000
1980,1240000
1981,1200000
1982,1360000
1983,1480000
1984,1500000
1985,1900000
1986,2300000
1987,2400000
1988,2000000
1989,2000000
1990,2100000
1991,2180000
1992,2225000
1993,2500000
1994,1850000
1995,1900000
1996,2000000
1997,2080000
1998,2300000
1999,2297000
2000,2300000
2001,2200000
2002,2100000
2003,2800000
2004,3000000
2005,4200000
2006,3811000
2007,3535000
2008,4274000
2009,4250000
2010,4310000
2011,4200000
2012,4600000
2013,5900000
2014,5950000
2015,6400000
2016,6400000
2017,5900000
2018,5700000
2019,6000000
2020,6500000
2021,6750000
