Tarih,Uretim Miktari
1938,407245
1939,405410
1940,481854
1941,342254
1942,415170
1943,344370
1944,336367
1945,225981
1946,442218
1947,348352
1948,513759
1949,274333
1950,442879
1951,600000
1952,670000
1953,730000
1954,440000
1955,650000
1956,566000
1957,700000
1958,780000
1959,665000
1960,700000
1961,570000
1962,690000
1963,900000
1964,735000
1965,775000
1966,850000
1967,900000
1968,820000
1969,817000
1970,630000
1971,895000
1972,755000
1973,690000
1974,560000
1975,750000
1976,740000
1977,690000
1978,620000
1979,620000
1980,525000
1981,530000
1982,430000
1983,380000
1984,360000
1985,360000
1986,350000
1987,380000
1988,280000
1989,191000
1990,240000
1991,256000
1992,230000
1993,235000
1994,195000
1995,240000
1996,245000
1997,235000
1998,232000
1999,233000
2000,260000
2001,220000
2002,255000
2003,240000
2004,270000
2005,270000
2006,271000
2007,240540
2008,246521
2009,343330
2010,365560
2011,365750
2012,370000
2013,365000
2014,300000
2015,330000
2016,300000
2017,320000
2018,320000
2019,310000
2020,295681
2021,200000
