Tarih,Uretim Miktari
1938,499893
1939,497641
1940,591476
1941,420117
1942,509621
1943,422714
1944,412890
1945,277392
1946,542823
1947,427602
1948,630639
1949,336744
1950,543634
1951,736500
1952,822425
1953,896075
1954,540100
1955,797875
1956,694765
1957,859250
1958,957450
1959,816288
1960,859250
1961,699675
1962,846975
1963,1104750
1964,902213
1965,951313
1966,1043375
1967,1104750
1968,1006550
1969,100287
1970,773325
1971,109861
1972,926763
1973,846975
1974,687400
1975,920625
1976,908350
1977,846975
1978,761050
1979,761050
1980,644438
1981,650575
1982,527825
1983,466450
1984,441900
1985,441900
1986,429625
1987,466450
1988,343700
1989,234453
1990,294600
1991,314240
1992,282325
1993,288463
1994,239363
1995,294600
1996,300738
1997,288463
1998,284780
1999,286008
2000,319150
2001,270050
2002,313013
2003,294600
2004,331425
2005,331425
2006,332653
2007,295263
2008,302605
2009,421438
2010,448725
2011,448958
2012,454175
2013,448038
2014,368250
2015,405075
2016,368250
2017,392800
2018,392800
2019,380525
2020,362948
2021,245500
