Tarih,Uretim Miktari
1938,4278820
1939,4191530
1940,4067950
1941,3483150
1942,4263280
1943,3509510
1944,3148400
1945,2189320
1946,3618380
1947,3215900
1948,4867090
1949,2516520
1950,3871930
1951,5600000
1952,6447000
1953,8000000
1954,4900000
1955,6900000
1956,6400000
1957,8300000
1958,8550000
1959,7852000
1960,8450000
1961,7000000
1962,8450000
1963,1000000
1964,8300000
1965,8500000
1966,9600000
1967,1000000
1968,9520000
1969,1050000
1970,1000000
1971,1350000
1972,1220000
1973,1000000
1974,1100000
1975,1475000
1976,1650000
1977,1665000
1978,1670000
1979,1750000
1980,1650000
1981,1700000
1982,1750000
1983,1640000
1984,1720000
1985,1700000
1986,1900000
1987,1890000
1988,2050000
1989,1620000
1990,2000000
1991,2040000
1992,1930000
1993,2100000
1994,1750000
1995,1800000
1996,1850000
1997,1865000
1998,2100000
1999,1800000
2000,2100000
2001,1900000
2002,1950000
2003,1900000
2004,2100000
2005,2150000
2006,2001000
2007,1723400
2008,1778200
2009,2060000
2010,1967400
2011,2180000
2012,2010000
2013,2205000
2014,1900000
2015,2260000
2016,2060000
2017,2150000
2018,2000000
2019,1900000
2020,2050000
2021,1765000
