Year;Production
1938;4278815
1939;4191528
1940;4067950
1941;3483147
1942;4263282
1943;3509507
1944;3148396
1945;2189318
1946;3618383
1947;3215904
1948;4867093
1949;2516523
1950;3871926
1951;5600000
1952;6447000
1953;8000000
1954;4900000
1955;6900000
1956;6400000
1957;8300000
1958;8550000
1959;7852000
1960;8450000
1961;7000000
1962;8450000
1963;10000000
1964;8300000
1965;8500000
1966;9600000
1967;10000000
1968;9520000
1969;10500000
1970;10000000
1971;13500000
1972;12200000
1973;10000000
1974;11000000
1975;14750000
1976;16500000
1977;16650000
1978;16700000
1979;17500000
1980;16500000
1981;17000000
1982;17500000
1983;16400000
1984;17200000
1985;17000000
1986;19000000
1987;18900000
1988;20500000
1989;16200000
1990;20000000
1991;20400000
1992;19300000
1993;21000000
1994;17500000
1995;18000000
1996;18500000
1997;18650000
1998;21000000
1999;18000000
2000;21000000
2001;19000000
2002;19500000
2003;19000000
2004;21000000
2005;21500000
2006;20010000
2007;17234000
2008;17782000
2009;20600000
2010;19674000
2011;21800000
2012;20100000
2013;22050000
2014;19000000
2015;22600000
2016;20600000
2017;21500000
2018;20000000
2019;19000000
2020;20500000
2021;17650000
