Tarih,Uretim Miktari
1938,4.278.820
1939,4.191.530
1940,4.067.950
1941,3.483.150
1942,4.263.280
1943,3.509.510
1944,3.148.400
1945,2.189.320
1946,3.618.380
1947,3.215.900
1948,4.867.090
1949,2.516.520
1950,3.871.930
1951,5.600.000
1952,6.447.000
1953,8.000.000
1954,4.900.000
1955,6.900.000
1956,6.400.000
1957,8.300.000
1958,8.550.000
1959,7.852.000
1960,8.450.000
1961,7.000.000
1962,8.450.000
1963,1.000.000
1964,8.300.000
1965,8.500.000
1966,9.600.000
1967,1.000.000
1968,9.520.000
1969,1.050.000
1970,1.000.000
1971,1.350.000
1972,1.220.000
1973,1.000.000
1974,1.100.000
1975,1.475.000
1976,1.650.000
1977,1.665.000
1978,1.670.000
1979,1.750.000
1980,1.650.000
1981,1.700.000
1982,1.750.000
1983,1.640.000
1984,1.720.000
1985,1.700.000
1986,1.900.000
1987,1.890.000
1988,2.050.000
1989,1.620.000
1990,2.000.000
1991,2.040.000
1992,1.930.000
1993,2.100.000
1994,1.750.000
1995,1.800.000
1996,1.850.000
1997,1.865.000
1998,2.100.000
1999,1.800.000
2000,2.100.000
2001,1.900.000
2002,1.950.000
2003,1.900.000
2004,2.100.000
2005,2.150.000
2006,2.001.000
2007,1.723.400
2008,1.778.200
2009,2.060.000
2010,1.967.400
2011,2.180.000
2012,2.010.000
2013,2.205.000
2014,1.900.000
2015,2.260.000
2016,2.060.000
2017,2.150.000
2018,2.000.000
2019,1.900.000
2020,2.050.000
2021,1.765.000
